course_name,course_subject,course_number,course_desc,course_link
Psychology of Communication,COMS,362,"The objectives of the course are to provide the learner with: 1) an overview of psychological processes active in the commun­icative act; 2) the opportunity to explore a single media area in depth, either independently or in a small group. Through a variety of formats, topic areas such as the following are explored: perception and information processing, language development, areas of para-psychology related to communication, influences on attitude/behaviour, verbal/non-verbal codes, and meaning.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Public Relations: Principles and Problems,COMS,371,"This course considers the principles and responsibilities of public relations, and critically examines specific problems and the role of media choices and practices in effecting solutions.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Race Ethnicity and Media,COMS,464, This course addresses practical and theoretical issues of race and ethnicity that have become focal points for current debates in public cultural expression and media studies. The following themes are discussed: cultural/racial difference and its implications for media studies,
Reception Studies,COMS,420,"This course examines recent theory and research trends in the area of media reception studies and audience agency. Topics may include discursive, institutional, observational, and ethnographic approaches through readings, discussion, and the design and execution of field research projects.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Rhetoric and Communication,COMS,465,This course focuses upon communication as persuasive or as producing identification. Emphasis is placed upon the role of communication in civic affairs. Classical and contemporary approaches to rhetorical theory and criticism are examined.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Scriptwriting for Media,COMS,307,"This course is designed to provide knowledge of and practice in the forms and formats of scripts for media. Topics include the anatomy of a script, the relation between audio and visual elements, and the specificity of particular narrative and non-narrative genres. Emphasis is placed upon formal structures, such as story construction and plot development, character and dialogue, tension, conflict, resolution, and harmony.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Selected Topics in Communication Studies,COMS,399,No Description,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Selected Topics in Communication Studies,COMS,299,No Description,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Selected Topics in Communication Studies,COMS,398,No Description,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Selected Topics in Communication Studies,COMS,298,No Description,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Selected Topics in Film Studies,COMS,304,"The topic of this course varies but may include such issues as film theories; the political economy of cinema; the analysis of particular periods in film history; the analysis of the films of particular directors and/or producers; film policies, or the relations between film, video, and television. Specific topics for this course are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Selected Topics in National Cinemas,COMS,301, This course focuses on selected national cinemas. The analytic perspective of the course varies but may encompass such issues as cultural contexts,
Selected Topics in Video,COMS,308,This course investigates a variety of video practices from the 1960s to present. These practices range from video as a political tool to video art and installation. Students gain an understanding of the critical and creative uses of video as a tool for communication and change.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Semiotics,COMS,463,"This course provides a detailed introduction to the semiotics of communication. The course considers the formal characteristics of signs and codes and examines how signs or texts produce meaning. Central to this course is the notion that sign-systems are fundamental to the production of knowledge and ideology. The course proceeds through lectures, an analytical reading of assigned texts, and student discussion and presentations.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Sexuality and Public Discourse,COMS,411,"This course analyzes and explores the ways sexuality circulates in and as public discourses. Through a variety of conceptual formations and critical conceptualizations of “the public” and “sexuality,” this course analyzes conceptually and critically how sexuality and the notion of the public are mutually constitutive. The seminar is interdisciplinary and draws upon works in feminist studies, queer theory, political philosophy, history, cultural studies, and communication theory.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Social Media Platforms and Policy,COMS,427,"This course critically examines the cultures, economics and affordances of social media platforms. The development of social media platforms is also discussed in order to understand how global flows of technology and culture converge. This course also examines platform policy and governance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Studies in Documentary,COMS,309,"This course offers a survey of documentary genres in various media. Topics include the characteristic styles and forms of documentary, the function of documentary, and its relationship to truth and knowledge. The course consists of lectures, screenings, readings, critique, and discussion.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Television Studies,COMS,426,"This course examines recent research focusing on television. Topics may include technological and industrial changes, audience activity, new genres, and representational conventions.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Theories of Public Discourse,COMS,372," This course presents a variety of theoretical frameworks that inform the analysis of public communication. Emphasis is placed on cultural, political, and ideological interpretations. Concepts presented are drawn from a number of traditions including rhetoric, hermeneutics, post-structuralism, psychoanalysis, semiotics, and deconstruction.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Topics in Media and Cultural History,COMS,373,"This course offers an in-depth examination of specific periods or issues in media and cultural history. Selected topics focus on the development of media forms or cultural practices, as well as their social and political consequences. Historiographic research methods and theories are addressed.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Visual Communication and Culture,COMS,369,"This course introduces the basic principles of visual forms of communication, and considers the relationship of visual and verbal components within media messages. It also presents various modes of visual communication, considers their place within cultural understandings of representation, and examines the place of the visual within contemporary culture.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Youth and Media,COMS,354,"This course explores the forms of communication that have developed between media and youth, including children and adolescents. Topical areas include future policies and planning in the light of developmental needs, ethical parameters, and experiments in creative empowerment.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-070.html#courses
Refflective Learning I,CWT,101,"Students are enrolled in this course concurrently with their first work term. This is a forum for critically examining the workplace, for reflecting on personal work?term experiences, for building and testing hypotheses, for disciplined inquiry, and for setting goals. Activities provide opportunities for students to connect their work?term experiences to their related courses.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec24.html#cwt-courses
Refflective Learning II,CWT,201,"Students are enrolled in this course concurrently with their second work term. Using one or more of the techniques listed in CWT 101, this course expands on students’ second work?term experiences in their related field of study to further develop their knowledge and work?related skills.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec24.html#cwt-courses
Refflective Learning III,CWT,301,"Students are enrolled in this course concurrently with their third work term. Using one or more of the techniques listed in CWT 101, this course expands on students’ third work?term experiences in their related field of study to further develop their knowledge and work?related skills.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec24.html#cwt-courses
Reflective Learning IV,CWT,401,"This course provides students with a forum for exploration, experimentation, and for study of process and principles of technical production in the performing arts. Students learn the basic techniques of creation?based production as well as the practical skills used in the successful application of technical theory. Topics may include costume, make?up, audio?visual support and documentation as well?as the use of current technologies within the context of the creative and choreographic process of contemporary dance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec24.html#cwt-courses
Aspects of Production for Dance,DANC,250,"Enrolment in the Major in Contemporary Dance, or written permission of the Department. This course provides students with a forum for exploration, experimentation, and for study of process and principles of technical production in the performing arts. Students learn the basic techniques of creation?based production as well as the practical skills used in the successful application of technical theory. Topics may include costume, make?up, audio?visual support and documentation as well?as the use of current technologies within the context of the creative and choreographic process of contemporary dance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Creative Process II,DANC,301,"A continuation of DANC?200. Students further develop the practical and theoretical aspects of the creative process in?dance and the elaboration of an individualized kinetic language. Methods of research and their application to concepts, themes, collaborations, projects, and the use of technology are evolved in studio and laboratories. In addition to the regular studio hours, students must attend two hours of laboratory each week",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Creative Process III,DANC,401,"This course enables students to advance their creative process and practice as movement artists through kinetic exploration, improvisation, performance coaching, extended studio projects, and lab reports. Discussion of current artistic issues and cultural manifestations help students situate their own research within a diversity of contexts. Building on initial research carried out in DANC?301 (300), further exploration is conducted into the use of technology within the creative process. In addition to the regular studio hours, students must attend two hours of laboratory each week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Dance Traditions,DANC,211,"A survey of the history of dance, including relations between modernism, post?modernism, and beyond. Support material may include slides and videos, and bibliographies of specific topics. The course is also designed to provide opportunities for personal and critical reflection and stimulation for contemplating ideas related to dance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Independent Study I,DANC,441, Students who have completed advanced choreography courses or the equivalent have the opportunity of carrying out a project of independent study. Subject matter must deal with specific aspects of?contemporary dance. Tutorials with the project advisor are mandatory.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Independent Study II,DANC,442,Written permission of the Department of Contemporary Dance. A student repeating DANC 441 registers for credit under DANC 442.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Practical Anatomy for the Moving Body,DANC,350,An introduction to human anatomy in relation to movement and dance. The study of skeletal structure and the function of muscles and joints for proper alignment.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Principles of Anatomy and Body Movement,DANC,330,A workshop of movement fundamentals based on the practical understanding of anatomy and dance technique. Studio: six hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Principles of Contemporary Dance,DANC,240,"A survey of technical skills, improvisation, and dance composition. Studio: four hours per week. Laboratory: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Sound and Silence for the Dancer,DANC,260," The basics of music theory through guided analytical text using singing, single line score reading and moving, including the study of rhythm, melody, harmony, tempi, dynamics, tone colour, and musical forms with emphasis on the fundamental understanding of rhythm, melody, and harmony physically and mentally.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Special Topics in Dance,DANC,398,"Topics vary from year to year, taking into account the special aptitudes of instructors and students. Studio: six hours.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Summer Workshop in Dance I,DANC,261,"Written permission of the Department of Contemporary Dance. Sequences of studio sessions which may include body movement, improvisation, performance technique, and choreography. Studio: four hours per week. Laboratory: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Summer Workshop in Dance II,DANC,262, Written permission of the Department of Contemporary Dance. A continuation of?DANC 261. Studio: four hours per week. Laboratory: two hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Technique I,DANC,205,"Enrolment in the Major in Contemporary Dance, or written permission of the Department. Emphasis is placed on the proper alignment and placement of the body in stillness and in motion. Integration and execution of movement fundamentals and sequences are taught as a preparation for dance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Technique II,DANC,305,"Prerequisite: Enrolment in the Major in Contemporary Dance, or written permission of the Department. Emphasis is placed on the technical development of suppleness, strength, coordination, rhythm, and kinetic fundamentals. Loco?motor patterns, spatial relations, and phrasing are formulated into movement sequences to prepare the students for dance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Technique III,DANC,405,"Prerequisite: Enrolment in the Major in Contemporary Dance, or written permission of the Department. Emphasis is placed on refining and consolidating the student’s practical understanding of kinetics in relation to placement, locomotion, movement patterns, dynamics, and phrasing. Students refine their perceptual and memory skills, and learn to integrate more complex movement notions to support interpretation in dance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
Topics in Dance,DANC,499,Prerequisite: Written permission of the Department of Contemporary Dance. Advanced choreography where movement shares equal emphasis with all other arts developed into multimedia theatre. Studio: four hours per week. Practice laboratory: two hours per week. Rehearsal: four hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-70.html#courses
3D Digital Concepts,DART,380,This computer lab course introduces students to computer-assisted 3D design concepts. Practical exercises advance technical skills and are combined with thematic proposals for virtual object representation. Scaled object production is encouraged in the final stages of the studio.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Bio-Inspiration in the Design of Objects,DART,292,This studio course advances the study of materials and construction methods. Assignments emphasize research and research methods specifically within the study of bionics. Students explore nature as inspiration to facilitate innovative and effective life cycles of designed objects.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Design and Community Engagement,DART,453,"This studio course is based on mobility or nomadic considerations in new media productions. Transportable and flexible equipment configurations are devel­oped to support on-site performance events, projection, and multimedia installations.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Design History and Sustainability,DART,263,"In this course, students build on developing proficiency in programming by engaging in larger-scale project work and learning to use more sophisticated data structures, algorithms, and code reuse. Emphasis is placed on developing ambitious and experimental applications that engage deeply with the underlying ideas of computation as a medium.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Design Process and the Materiality of Objects,DART,291,"This studio course concentrates on the design process and provides students with communication strategies including sketching in perspective and technical drawing. Assigned projects address creativity, sustainable materials, and construction techniques.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Digital Interaction,DART,451,"This course introduces advanced topics in networked media, exploring the potential of connected technologies in multiple contexts, from their role in present-day life to potential future scenarios. Special attention is given to the design rhetorics and values commonly embedded in the web and internet-enabled devices and how students can work to subvert or repurpose these conventional approaches to design.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Digital Media and Moving Images,DART,381," In this studio course, students generate concepts, thematic proposals, storyboards, and narratives for audiovisual presentations and creative works with a focus on online or web applications. Students develop projects for motion graphics, kinetic typography, as well as audio components.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Discursive Design Research I,DART,491," This core theoretical course combines lectures and discussions, emphasizing the contextual and societal implications of the design process from conception to production. Multidisciplinary approaches to design research and methodology allow students to advance the discourse of their own emerging design ethic and aesthetic.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Discursive Design Research II,DART,492,"This core course explores the interstices between visual culture, material culture, and related theoretical discourses as disciplines which profoundly influence the design process. Particular attention is devoted to multidisciplinary engagement as applied to individual design scenarios. This course is a continuation of DART 491.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Environmental Research and Practice,DART,392,"This studio course develops students’ expertise in design research and support applications for the built environment, through specific sustainable projects and community initiatives. Students work in collaboration with different stakeholders in the research, conceptualization, construction, and analysis stages of project design.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Exploring Design Studies,DART,262," This theory course introduces students to innovative and creative ways of thinking about design, and offers means of organizing their ideas effectively and convincingly. Referring to both historic and current examples of design theory and practice, coursework and assignments explore existing frameworks or models for design studies, enabling students to investigate critical aspects of visual communication and the built environment.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Immersive Media,DART,452," Students in this interdisciplinary lab course consider the expanded use of technologies for digital media in the context of 3D objects and environments. Through collaborative projects, students explore immersive installations integrating sound, video, interactivity, and performative events.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Independent Study I,DART,461,This course provides an opportunity for a limited number of students to pursue advanced studies in a design research and creation project under the supervision of a full-time faculty member. A clearly defined written agreement between the student and the faculty supervisor is required before the independent study is approved.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Independent Study II,DART,462,This course provides an opportunity for a limited number of students to pursue advanced studies in a design research and creation project under the supervision of a full-time faculty member. A clearly defined written agreement between the student and the faculty supervisor is required before the independent study is approved.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Independent Study III,DART,463,This course provides an opportunity for a limited number of students to pursue advanced studies in a design research and creation project under the supervision of a full-time faculty member. A clearly defined written agreement between the student and the faculty supervisor is required before the independent study is approved.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Information Design,DART,455,Students work in the industry for a period of nine to thirteen weeks to allow them to gain experience in design firms and multimedia companies. Internships approved for credit must be academically appropriate to the program.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Inter.Net.Works,DART,456,Students work in the industry for a period of nine to thirteen weeks to allow them to gain experience in design firms and multimedia companies. Internships approved for credit must be academically appropriate to the program.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Interpretive Public Spaces,DART,335,"This studio course develops strategies for interactions in the public sphere. The application of scenography, planning of space and the integration of content orients the student towards the design of museum installations, mobile exhibitions, and performative events.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Introduction to Design Studies,DART,261,"Prerequisite: Enrolment in the Major in Design or written permission of the Department. This lecture course examines key themes in the history and theory of visual communication and the built environment from industrialization to the present day. Emphasis is given to current as well as future implications of design practice. Research methods in the discipline are introduced to facilitate development of students’ analytical and critical abilities, both oral and written.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Introduction to Web Design,DART,349,"Prerequisite: DART 221; DART 291, 292 previously or concurrently; or written permission of the Department. This studio course focuses on typographic design and explores the functional and expressive aspects of typography. Process-based assignments emphasize the principles of typography, information hierarchy, multiple-page content, and text-image relationships.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Nature-Inspired Environments,DART,448,"In this studio course, students examine natural systems to uncover design potential for the built environment. Students develop innovative approaches that advance sustainable design thinking through the study of intrinsic environmental geometries, behaviours, narratives, and life-cycle flows.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Portfolio Design,DART,444,"Prerequisite: DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. In this studio course, students represent their design practice in a series of portfolio materials. Visual and written documentation are developed for print, digital media, and exhibition.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Post-Graduation Strategies in Design,DART,493,"Prerequisite: DART 491 previously or concurrently; 48 credits in the Major in Design or written permission of the Department. In this seminar course, students have the opportunity to explore subject matter related to both professional practice and graduate studies. Topics related to the former include eco-focused business or sustainable business models, eco-conscious design practice, time-planning strategies, intellectual property (copyrights, patents), funding models and business start-ups. Topics related to potential graduate studies include grant writing, selection of graduate programs, and research project proposals",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Print Concepts and Processes,DART,332,"Prerequisite: DART 221, 261, 262 or 263, 280; 24 credits in the Design Major; or written permission of the Department. This studio course focuses on the conceptualization, process, and production of printed projects. Assignments relate content and narrative to the material nature of printed matter, printing techniques, and the responsible use of resources.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Print: Meaning and Process,DART,443,"Prerequisite: DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. This computer lab course focuses on graphic design in publishing systems. The implications of mass production, the responsible use of resources, and alternative print and packaging processes are key factors in the ecology of image production.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Professional Internship I,DART,471,"Prerequisite: 48 credits in the Major in Design and written permission of the Department. This course provides an opportunity for a limited number of students to further develop their design skill sets as an intern in a design firm or cultural organization such as a museum or graphic and industrial design association. A clearly defined written agreement between the student intern, the employer, and the full-time faculty supervisor is required before the internship is approved.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Professional Internship II,DART,472,"Prerequisite: 48 credits in the Major in Design and written permission of the Department. This course provides an opportunity for a limited number of students to further develop their design skill sets as an intern in a design firm or cultural organization such as a museum or graphic and industrial design association. A clearly defined written agreement between the student intern, the employer, and the full-time faculty supervisor is required before the internship is approved.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Scenarios for Typography,DART,442,"Prerequisite: DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. This studio course engages students to explore the diversity of typographic expression within a visual and literary context. Assignments are designed to address the significance and complexity of words for persuasive messaging, multilingual information exchange, and typographic play in visual communication.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Second Skin and Soft Wear,DART,339,"Prerequisite: DART 380 or 381; DART 391, 392 previously or concurrently; or written permission of the Department. This studio course contextualizes the making of and the concepts relating to soft surfaces, objects, furniture, and sculptural forms. Students are also encouraged to explore the sensory interfaces between surface and structure in design by investigating alternative material use and new technologies for innovative textile design, electronics, and body wear.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Socio-Cultural Research and Practice,DART,391,"Prerequisite: DART 221, 261, 262 or 263 , 280, 291, 292; 24 credits in the Major in Design; or written permission of the Department. This studio course emphasizes the significance of research and context in the development of socio-cultural sustainability and collaborative design practice. Students experiment with word-image relationships exploring diverse mediums including small-scale publishing, soft surface design, dimensional packaging, and body wear.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Special Topics in Design,DART,498,"Prerequisite: Enrolment in a Computation Arts program or written permission of the Department. An advanced course which provides an opportunity for the study of specialized aspects and applications in digital fine arts. Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Special Topics in Design,DART,398,"Prerequisite: 24 credits in the Major in Design or written permission of the Department. This course provides an opportunity for the study of special issues in design art. Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Special Topics in Design Art,DART,298,"Prerequisite: 24 credits in the Major in Design or written permission of the Department. This course provides an opportunity for the study of special issues in design art. Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Studies in the Built Environment,DART,446,"Prerequisite: DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. In this theory course, students explore physical space as a complex dynamic in which nature, architecture, things, and people continuously interact and influence each other. Students develop skills to explore such concepts as spatiality and materiality, to enhance their understanding of, and contributions to, the built environment",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
The Culture of Images,DART,441,"Prerequisite: DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. In this theory course students analyze the impact of images through the study of popular culture and the persuasiveness of advertising in image-saturated and information-dense societies. Projects address strategies for effective visual communication as catalysts towards transformative socio-cultural environments.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
The Future Life of Objects,DART,447,"Prerequisite: DART 380; DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. This studio course encourages students to analyze the integration and impact of digital technologies in the production of three-dimensional objects and space design. Students examine current technologies and production and explore concepts for objects, enhancing the long-term value and use of objects within the built environment.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
The Language of the Web,DART,449,"Prerequisite: DART 349; 48 credits in the Major in Design or written permission of the Department. In this studio course, students develop online applications and innovative methods for organizing and disseminating information. Issues of interactivity, navigation, and open-source media are emphasized.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
The Narrative Object,DART,445,"Prerequisite: DART 380 or 381; DART 491, 492 previously or concurrently; 48 credits in the Major in Design; or written permission of the Department. In this studio course, the mythic potential of objects as personal and cultural markers is considered in the context of everyday life. Students construct meaning through objects, responding to the potential for expression inherent in materials, structure, and form. The rigour of observation, analysis, and interpretation of object stimulates opportunities for multiple readings.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Un.bound in Perfect Print,DART,440,"Prerequisite: 48 credits in the Major in Design or written permission of the Department. This studio course focuses on producing a series of self-directed conceptual or thematic book works. Projects are informed by studies of the history, craft and cultural significance of limited edition publications, unbound/bound bookworks, livres-objets and zines.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Visual Communication in Context,DART,221,"Prerequisite: 48 credits in the Major in Design or written permission of the Department. This studio course focuses on producing a series of self-directed conceptual or thematic book works. Projects are informed by studies of the history, craft and cultural significance of limited edition publications, unbound/bound bookworks, livres-objets and zines.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Web Intervention,DART,450,"Prerequisite: DART 349; 48 credits in the Major in Design or written permission of the Department. In this studio course, students create socially engaged online interventions. Projects are informed by open-source culture, social media, and the effects of technological democratization.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Words in Space,DART,331,"Prerequisite: DART 280; DART 391, 392 previously or concurrently; or written permission of the Department. This studio course focuses on type and image in the built environment. Issues of space, materiality, and legibility are examined within architectural and urban landscapes. Students engage in projects ranging from wayfinding and signage to exhibition design and installations.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-90.html#designart
Advanced Designers Studio: Conception,DFTT,401,"Prerequisite: DFTT 301 and written permission of the Department of Theatre. Students apply their design knowledge to special projects, which may include portfolio development or the design of Department of Theatre productions.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Advanced Elements of Production,DFTT,470,"Prerequisite: DFTT 370 or 371 and written permission of the Department of Theatre. Students study advanced theories and practices of stage management, production management, and technical direction. They develop technical skills in scenery, properties, and costumes, as well as in lighting and sound. By completing specific assignments related to department public performances, students are introduced to the language, tools, and techniques in rehearsal halls, shops, and backstage.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Advanced Elements of Production,DFTT,471,"Prerequisite: DFTT 370 or 371 and written permission of the Department of Theatre. Students study advanced theories and practices of stage management, production management, and technical direction. They develop technical skills in scenery, properties, and costumes, as well as in lighting and sound. By completing specific assignments related to department public performances, students are introduced to the language, tools, and techniques in rehearsal halls, shops, and backstage.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Advanced Public Performance Design,DFTT,450,"Prerequisite: DFTT 350 or 351 and written permission of the Department of Theatre. Students learn to collaborate with directors, other designers, and technical staff at an advanced level to creatively realize set, costume, lighting, properties, video, and sound designs for live performance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Advanced Public Performance Design,DFTT,451,"Prerequisite: DFTT 350 or 351 and written permission of the Department of Theatre. Students learn to collaborate with directors, other designers, and technical staff at an advanced level to creatively realize set, costume, lighting, properties, video, and sound designs for live performance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Costume Accessories Realization,DFTT,326,"Prerequisite: DFTT 209 and 210 or written permission of the Department of Theatre. Students study costume accessory design for the stage with emphasis on analysis, development, and execution of design ideas. Students participate in lectures and studios and examine costume accessory design as a practical, expressive and interpretive form. The focus is on basic realization methods, for example, mask-making, millinery, and accessory construction. Students have scheduled access to a costume shop and dyeing facilities.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Costume Design Conception,DFTT,321,"Prerequisite: DFTT 209 and 210 or written permission of the Department of Theatre. Students study costume design for the theatre with emphasis on imaginative and analytical processes of developing and communicating costume design ideas. Students participate in lectures, studios, and projects, and examine theories, aesthetics, and conventions of costume design.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Costume Design Realization,DFTT,325,"Prerequisite: DFTT 209 and 210 or written permission of the Department of Theatre. Students study costuming for the stage with emphasis on analysis, development, and execution of design ideas. Students participate in lectures and studios and examine costuming as a practical, expressive, and interpretive form. The focus is on basic realization methods, for example, patterning and draping. Students have scheduled access to a costume shop and dyeing facilities.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
Design for Live Performance I,DFTT,209,"Prerequisite: Enrolment in a specialization of the Department of Theatre or written permission of the Department. An examination of the theatrical design process, including the role of designers. Students study the conception, communication, and realization of design ideas in lectures and labs.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#design
