Course Name,Course subject,Course number,Course description
Simulations and Design of Construction Operations ,BLDG,6861,"Prerequisite: BLDG 6831.
 Principles of modelling and simulation. Classification and validation of simulation models. Analysis of input data and outputs. Object Oriented Simulation (OOS). Simulation languages. Application of discrete event simulation in construction operations including earthmoving operations, building construction operations, and tunneling operations. A project is required.
Note: Students who have taken the undergraduate equivalent BCEE 466 may not take this course for credit."
Topics in Building Engineering I ,BLDG,691,"Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. CIVI 691A, CIVI 691B, etc."
Trenchless Technology for Rehabilitation Works ,BLDG,6921,"State of Canadian urban infrastructure with a focus on underground facilities; current industry practice; common types of defects in underground pipes; diagnostics of defects and evaluation techniques for the conditions of water and sewer mains; planning, equipment, materials and methods for rehabilitation of water and sewer mains; case studies.
Note: Students who have taken ENGR 6721 may not take this course for credit."
Infrastructure Rehabilitation ,BLDG,6931,"State of Canadian urban infrastructure. Rehabilitation techniques as applicable to steel and concrete structures; degradation mechanisms; detection and classification of defects. Evaluation and assessment of the conditions of buildings and bridges. Rehabilitation materials and methods. Codes and guidelines. Case studies.
Note: Students who have taken ENGR 6731 may not take this course for credit."
Solar Building Modelling and Design ,BLDG,6951,"Prerequisite: BLDG 6611 or permission of instructor.
 Design principles of solar buildings, including direct gain, indirect gain and solaria. Net-zero energy solar buildings; analytical and numerical models. Performance of glazing systems, transparent insulation, and airflow windows. Building-integrated photovoltaic systems. Thermal storage sizing for solar energy storage; phase-change thermal storage. Thermosyphon collectors. Prevention of overheating, shading systems and natural ventilation. A project is required."
Dispersion of Building Exhaust ,BLDG,7401,"Prerequisite: BLDG 6611.
 Atmospheric parameters, wind velocity profiles, meteorological data. Gaussian dispersion equations. Plume rise and trajectories. Evaluation of stack gas plume dispersion. Trapped plumes; Turner’s approximation. Potential reingestion of building exhaust. Analytical, numerical and experimental modelling of dispersion process; design guidelines fumigation. A case study or a project is required."
Integrated Building Design ,BLDG,7511,"Prerequisites: BLDG 6601 and BLDG 6711.
 Compatibility among building subsystems (structural, envelope, mechanical, lighting, materials) and between the building and the environment. Integration issues in the design, production and operation of the built facility. Case studies of failures caused by lack of compatibility. Consideration for tolerances and sustainable development. A project is required."
Advanced Computer-Aided Building Design ,BLDG,7521,"Prerequisite: BLDG 6231.
 Characteristics of the building design process. Traditional versus emerging roles of computers pertaining to building design activities. Preliminary design and integrated design issues: analysis with incomplete/imprecise data, automatic sizing and checking based on Standards, interfaces between CAD and analysis routines, communications across disciplines and through design stages, standardization. Applications involving operations research techniques, KBS and analysis packages for engineering performance evaluation. A project is required."
Durability of Building Materials ,BLDG,7601,"Prerequisite: BLDG 6611 or equivalent.
 Concepts underlying long-term performance of building materials such as: ceramics, stucco and synthetic stucco, lightweight concrete, wood and wood-based products, thermal insulation, selected composite materials, sealants, membranes used for waterproofing and air barriers. Methods of fabrication, properties and evaluation for durability. Failure mechanisms under combined actions of mechanical and environmental loads (temperature, moisture, freeze-thaw, solar radiation, salt solutions, air pollution, and microorganisms). A case study and project."
Project Acquisition and Control ,BLDG,7811,"Prerequisites: BLDG 6571, 6801.
 Study of techniques and procedures used for construction project procurement and control. Topics treated include: marketing, bidding strategies, work break-down structure and contract packages, techniques for integrated time and cost control; management information systems for control, procurement; productivity measurement, contingency and escalation analysis and control. A project is required."
Building Economics II ,BLDG,7831,"Prerequisites: BLDG 6561, 6581.
 Topics include: replacement analysis; risk analysis of projects; sensitivity analysis; forecasting techniques, profitability analysis; multi-attributed decision analysis, case studies. A project is required."
Information Technology Applications in Construction ,BLDG,7841,"Prerequisite: BLDG 7811.
 Use of computers in estimating, cost engineering, scheduling and resource analyses, materials control, report generation and operations simulation. Information systems: information-based theories of management; information technology, cost and value information; analysis, design and implementation of a network based control system. Considerations for computer usage in construction firms; hardware, software, operations, economic, human and organizational. Product and process modelling; Internet use in product delivery. A project is required."
Business Practices in Construction ,BLDG,7861,"Prerequisite: BLDG 6801.
 A study of business practices as they relate to the construction industry. Topics treated include: organization; marketing; bid preparation; bonding; personnel management; financing; accounting; cash-flow analysis; capital budgeting. The principles are first presented and then followed by case studies. A project is required."
Construction Equipment Management ,BLDG,7871,"Prerequisite: BLDG 6561.
 The study of various classes of equipment, (cranes, excavators, loaders, tractors, etc.) used in construction. Methods are developed for selecting, acquiring, maintaining and replacing equipment. Treatment of simulation and its use for the optimal selection of equipment spreads. A project is required."
Topics in Building Engineering II,BLDG,791,"Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. CIVI 691A, CIVI 691B, etc."
Doctoral Seminar in Building Engineering ,BLDG,8011,Grading on a pass/fail basis only. No credit value.
Advanced Reinforced Concrete ,CIVI,6001,Strength limits; modes of failure; flexural and inclined cracking strength; crack propagation; crack width; deformation; biaxial and multiaxial strength of concrete; ultimate strength in flexure; ultimate strength in diagonal splitting; ultimate strength of columns; current research progress and modelling for finite element analysis; new code regulations. A project is required.
Pre-cast and Pre-stressed Concrete Structures ,CIVI,6011,Prefabrication and prestressing concepts; segmental and modular structures and connections; composite and pre-and post-tensioned structures; analysis and design of determinate and indeterminate systems; design codes. A project is required.
Durability of Concrete Materials ,CIVI,6021,"Influence of constituent materials (cements, aggregates and admixtures) on the properties of fresh and hardened concrete. Chemistry and hydration reactions of cement and alternate cementing materials. Development of pore structure and its influence on transport and deterioration mechanisms, durability testing. Concrete mixture design and optimization for high performance and other speciality concrete types. Climatic loads affecting durability and performance. Performance vs. prescriptive specifications. A project is required.
Note: Students who have taken ENGR 691B (Performance and Durability of Concrete Materials) may not take this course for credit."
Seismic Assessment and Retrofit of Structures ,CIVI,6031,"Seismic rehabilitation requirements and performance objectives. Evolution of codes, standards and regulations. Selection of retrofit design methodology. General strategies to develop rehabilitation schemes: add stiffness, damping, and/or mass reduction. Seismic assessment of existing steel structures. Behaviour and design of structures equipped with energy dissipation devices. Case studies and a project are required.
Note: Students who have taken CIVI 691B (Seismic Assessment and Retrofit of Structures) may not take this course for credit."
Design of Industrial Structures ,CIVI,6051,"Problems in the design of industrial structures in steel, reinforced concrete, masonry, and timber; rejuvenation and expansion of existing plant facilities; design of bracing systems, foundations, silos and liquid storage tanks; connections, standard details and codes. A case study and project."
Structural Health Monitoring,CIVI,6061,"Review of the current state of infrastructure including bridges, dams, pipelines as well as buildings. Components of civil infrastructure including smart and innovative structures. Structural Health Monitoring (SHM): principles, techniques, implementation, interdisciplinary approach, advantages and challenges. SHM systems: component and system design, sensors and instrumentation, data acquisition, data management, interpretation of SHM data, assessment of structural condition, and decision making. Damage detection methods: local and global, analytical and experimental, non-destructive evaluation, vibration based damage identification. Field applications. A project is required."
Advanced Steel Structures Design,CIVI,6071,"Topics of this course include design principles of ductile building structures; fundamentals of stability theory, frame stability; concept, methods and applications of plastic analysis; design for local and global stability of braced frames, moment-resisting frames and structures equipped with passive supplemental damping systems: hysteretic, yielding and self-centring dampers; design strategies for enhanced seismic stability; computer applications. A project is required.
Note: Students who have received credit for CIVI 691C (Advanced Steel Structures Design) may not take this course for credit."
Planning and Design of Bridges ,CIVI,6101,"History and development of bridges; basic parameters; material, system and geometry; selection of location and optimum proportioning of different structural types; selection and design of steel and concrete highway and railway bridge structures based on requirements of economics; maintenance, aesthetics and safety; modern trends in bridge design and construction; analysis of existing bridges; numerical examples. A project is required."
Hydrology  ,CIVI,6301,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
 Weather elements; precipitation, stage-discharge relations; evapo-transpiration; ground water flow, method of images; streamflow hydrograph, unit hydrograph and its applications, synthetic hydrographs; laminar flow; hydrologic routing; instantaneous hydrography; hydraulic routing, method of characteristics, kinematic routing; statistical analysis, confidence intervals, stochastic generator, auto-regressive model; applications of hydrology. A case study and a project are required."
Hydraulic Engineering ,CIVI,6331,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
 Development of surface water resources; basic measurements in hydraulic engineering; storage reservoirs; practical problems; run-off characteristics of natural streams; control structures; economic analysis; energy dissipators; sediment transportation; transitions; elements of river engineering; navigation; control of floods. A case study and a project are required."
Hydraulic Structures ,CIVI,6381,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
 Design of storage dams; characteristics of spillways and other outlet works; design of control structures; principles and design of flow measuring structures; special topics. A project is required."
Transportation Systems Analysis ,CIVI,6401,Aspects of probability and statistics as applied to transportation; network theory; system operations and safety management; applications of optimization and decision theory to selection of alternative systems and facility location; evaluation of traffic control devices; signal timing plans and management strategies. A project is required.
Urban Transportation Planning  ,CIVI,6411,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
 Forecasting future travel patterns; travel characteristics; systems approach to transportation planning process; land use data collection and demand analysis; trip generation; trip distribution; model and root assignment; transportation of commodities; environmental impact analysis. Computer modelling. A project is required."
Traffic Engineering ,CIVI,6441,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
 Analysis of existing traffic flow conditions; study of traffic characteristics; volume and speed surveys; capacity-performance relations for urban streets and intersections; signal timing and coordination; traffic and environmental management; computer applications in incident detection and control; analysis and management of safety. A project is required."
Pavement Design ,CIVI,6451,"Components of pavement systems; materials, tests and specifications; granular and treated bases, subgrade and drainage; earthwork and soil stabilization; mechanistic-empirical theory for pavements; damage accumulation; axle loads and stresses in pavements; design methods for flexible and rigid pavements of highways and airports; design of pavement overlays; economic requirements; design projects and computer applications. A project is required."
Pavement Management Systems,CIVI,6461,"Topics include introduction to pavement systems; strategic, tactical and operational planning for sustainable pavements; preservation, rehabilitation, upgrading and expansion; pavement damage assessment; data collection; decision making; performance modelling; pavement deterioration; coordination and scheduling of interventions. A project is required."
Sustainable Management of Industrial Waste ,CIVI,6481,"Industrial ecology and sustainable engineering concepts, characterization and sources of industrial waste, toxicological and risk aspects of waste management; environmental impact, material flow analysis, energy balance and recovery, management of water and resources use, material minimization, storage, physical, chemical and biological transformations, recycling, reuse and disposal, life cycle assessment, regulations, ISO certification. A project is required."
Engineering Aspects of Site Remediation ,CIVI,6491,Physico-chemical characteristics of subsurface; soil biology; introduction to subsurface transport of contaminants; site assessment techniques; bioremediation principles and techniques; physico-chemical remediation; thermal removal; in-situ and ex-situ groundwater techniques; natural attenuation; case studies; lab demonstrations. A project is required.
Foundation Engineering ,CIVI,6501,"Theoretical development of bearing capacity of shallow and deep foundations, settlement analyses, design of retaining walls, sheet piles, tiebacks and caissons, dynamic analyses of pile foundations, design of machine foundations, foundations on difficult soils, construction and performance of foundations, computer applications, case histories. A project is required."
Earth Structures and Slope Stability ,CIVI,6511,"Design and construction of earth and rockfill dams. Seepage problems, flow nets, seepage control, soil compaction and stabilization. Computer analysis of slope stability, factor of safety. Measures taken to limit and accommodate settlements. Case studies."
Soil Behaviour ,CIVI,6521,"Drained and undrained shear strength of soils, stress-strain relationships, two and three dimensional stress paths. Pore water pressure coefficients in saturated and partially saturated clays. One and three dimensional consolidation theories, design of sand drains, and applications. Special geotechnical problems. A project is required."
Soil Testing and Properties ,CIVI,6531,"Measurement and evaluation of soil consolidation, strength, and pore water pressure characteristics by means of consolidation, triaxial and direct shear tests. Application of test results to design and research problems. A project is required."
Reinforced Earth ,CIVI,6541,Design of geotechnical structures reinforced with geotextiles and geogrids to improve their strength and deformation properties. Use of geonets and geomembranes to accelerate the drainage and consolidation of soil systems. Soil nailing and inclined piling to prevent downhill creep and slope failure. Analysis and design of stone columns used to support light structures and prevent instability due to soil liquefaction. A project is required.
Modelling in Building and Environmental Engineering ,CIVI,6601,"Continuous and discrete forms of conservation laws: mass, momentum and energy, numerical methods (finite differences, implicit and explicit schemes, finite elements). Transport of contaminants and moisture in buildings and contaminants in the environment. Modelling and measuring sources and sinks of pollutants. Computer applications to building and environmental engineering. A case study and project."
Environmental Engineering ,CIVI,6611,"Introduction to waste water treatment and control; stream pollution and control; ground water pollution; air pollution; acid rain, meteorological aspects. Noise pollution; hazardous waste disposal; solid waste management. A case study and a project are required."
Engineering Aspects of Biological Treatment of Water and Air ,CIVI,6621,"Introduction to aerobic/anaerobic microbial processes, design of aerobic and anaerobic systems for biological treatment of municipal, industrial and agricultural water and air pollution, design and modelling of activated sludge reactors, trickling filters, plug flow reactors, lagoons, nutrient removal, constructed wetlands, phytoremediation, biofilters, bioscrubbers, management of biosolids, lab demonstration. A case study and project."
Hazardous Material Management and Transportation ,CIVI,6631,"Characterization and sources of hazardous materials, accidental release of hazardous material, toxicological aspects of hazardous material; risk analysis, legal issues, management of hazardous material after catastrophic events, storage, treatments, recycling, reuse and exchange of hazardous materials, life cycle analysis, attenuation of accidental release of hazardous materials, transportation and environmental systems interface, transportation network, minimum-risk route models, determination of safe truck routes and management. A project is required."
Unit Operations in Environmental Engineering ,CIVI,6641,"Physical and chemical principles underlying coagulation, flocculation, sedimentation, sorption, reverse osmosis, electrodialysis, ion exchange and sludge dewatering. Design and scale-up equations for clarifiers, absorption columns, filters, centrifuges, electrodialysis stacks, air components and demineralization units, lab demonstration. A case study and a project are required."
Water Pollution and Control ,CIVI,6651,"Physical, chemical and biological characteristics of water, water quality standards, reaction kinetics and material balances, eutrophication. Containment of reactive contaminants. Natural purification processes in water system, adsorption, absorption; diffusion and dispersion, oxidation. Large-scale transport of contaminants, single and multiple source models; modelling of transport processes, computer simulation, introduction to groundwater pollution, sea-water intrusion. A case study and a project are required."
Environmental Impact Assessment ,CIVI,6661,"Engineering activities and the environment; environmental ethics. Prediction and estimation, statistical analysis of impact on air, water, soil quality and biological, socio-economic, cultural environments. Water and air pollution law, solid and hazardous waste laws. Applications of GIS, Environmental inventories, assessment preparation and review. Federal and provincial laws and regulations on environmental assessment. Strategies for environmental compliance, resolution of environmental conflicts. Case studies and project."
Fate and Transport of Contaminants in the Environment ,CIVI,6671,"Physical and chemical properties of organic and inorganic contaminants, air-soil-water-cycle and contaminant interactions, adsorption/desorption models, soil components in contaminant transport, influence of groundwater composition, advective flow, diffusion transport, diffusion and dispersion coefficients, partition coefficients, mechanisms and modelling of contaminant transport in soil and groundwater, environmental fate of contaminants Case studies concerning landfills, greenhouse effects, soil and groundwater interactions, nuclear waste disposal. A project is required."
Environmental Nanotechnology ,CIVI,6681,"Topics include basic concepts of nanoscience and nanotechnology; characterization of nanomaterials; nanoscience and public policy aspects; nanoparticle transport and fate in the environment; nanohazard assessment and nanotoxicology; environmental engineering applications of nanotechnology: pollutants sensing, monitoring, control and remediation. A project is required."
Greenhouse Gases and Control,CIVI,6691,"Topics include physiochemical characteristics of greenhouse gas (GHG) species; GHG emissions, inventories, quantification and management; international and regional standards, protocols, regulations and schemes; GHG information management systems; GHG reuse, recycling, and sequestration; GHG emissions modelling and control planning; available and emerging technologies for reducing GHG emissions. A project is required."
Asset Management for Sustainable Civil Infrastructure,CIVI,6711,"Topics include fundamentals of the infrastructure asset management process; strategic planning, location of underground assets, condition assessment and performance indicators, deterioration models, and development of community driven levels of service; life-cycle analysis, integrated infrastructure modelling, optimized intervention plans and budget allocation, asset management software systems. A project is required."
Topics in Civil Engineering I,CIVI,691,"Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number. e.g. CIVI 691A, CIVI 691B, etc."
Earthquake Engineering ,CIVI,7001,"Prerequisite: ENGR 6581.
 Earthquake ground motion characteristics; behaviour of buildings, bridges, etc., methods and principles of structural dynamics; inelastic action and concept of energy absorption; evaluation of damage; soil structure interaction problems; design methods and code requirements; current research. A project is required."
Dynamics of Foundations ,CIVI,7031,"Prerequisite: ENGR 6581.
 Principles of soil dynamics; dynamic loads, theory of vibrations and design considerations for foundations of different types; shallow foundations, deep foundations, massive machine bases; problems of soil-structure interaction. A project is required."
Theory and Design of Orthotropic Bridges ,CIVI,7101,"Prerequisite: CIVI 6101.
 Natural and technical orthotropy; orthogonally stiffened plates; methods of bridge analysis and design; materials; specifications; analysis of existing orthotropic structures; numerical examples. A project is required."
Theory and Design of Modern Bridge Systems ,CIVI,7111,"Prerequisite: CIVI 6101.
 Hybrid, post-stressed and composite plate girders and trusses; delta type girders; orthotropic, shell types and tubular bridges, cable-stayed and stiffened cable bridges; optimization of bridge systems; vibrations and damping capacity; aerodynamics and seismic stability; concept of safety; fatigue and carrying capacity; use of models; application of computers. A project is required."
Cable Stayed Bridges ,CIVI,7121,"Prerequisite: CIVI 6101.
 Basic bridge systems; methods of structural analysis; aerodynamic stability; structural details; typical structures. A project is required."
Advanced Analysis of Groundwater Flow and Contamination ,CIVI,7311,"Prerequisite: ENCS 6021.
 Groundwater storage and supply; storage in confined aquifers; water table fluctuation; aquifers; steady groundwater hydraulics; aquifer tests and pumping. Groundwater flow equations; conservative and reactive contaminant transport of groundwater systems; analytical and numerical solutions of contaminant transport equations; flow and solute transport in fractured porous media; assessment of environmental impact of waste disposal operations, model implementation strategies. A project is required."
Design of Transportation Terminals ,CIVI,7401,"Prerequisites: CIVI 6401 or 6411.
 Functions of transportation terminals; airports, seaports, public transit terminals; systems approach to passenger and freight terminal design; criteria for evaluating the inter-modal transfer process and user requirements. Simulation models and analytical techniques for quality of service analysis and evaluation of terminal configurations; requirements of new systems; high capacity aircraft; V/STOL aircraft, LRT and HST systems. A project is required."
Environmental Engineering Research Project ,CIVI,7901,"Prerequisite: Completion of at least 20 credits in the Environmental Engineering program and permission of the Departmental Graduate Program Director.
 This is a research project to be completed under the supervision of a full-time faculty member from the Department. The research topic must be in the field of environmental engineering, and should be selected in consultation and with the approval of a faculty supervisor. The course is graded on the basis of the student’s performance during the work period, which includes a technical report that is assessed by two faculty members in the area."
Topics in Civil Engineering II,CIVI,791,"Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number. e.g. CIVI 691A, CIVI 691B, etc."
Doctoral Seminar in Civil Engineering ,CIVI,8011,Grading on a pass/fail basis only. No credit value.
Project in Chemical and Materials Engineering,CHME,6001,The course consists of an individual project in a chosen area of study in the area of Chemical and Materials Engineering under the supervision of a faculty member. This course may be repeated for credit.
Advanced Transport Phenomena,CHME,6011,"Topics include equations of heat, mass, and momentum transfer; viscosity, thermal conductivity and diffusivity in laminar and turbulent conditions; velocity, temperature, and concentration distributions in selected systems; Navier-Stokes equations: direct simulation and turbulence modelling – Reynolds-averaged Navier-Stokes (RANS); turbulence near surfaces and interphase transport; multicomponent mass transfer; transport in porous media; effects of narrow pore size; and the dusty-gas model (DGM). A project is required."
Advanced Chemical Engineering Thermodynamics,CHME,6021,<span class=large-text>CHME 6021 Advanced Chemical Engineering Thermodynamics 
Chemical Kinetics and Reaction Engineering ,CHME,6031,<span class=large-text>CHME 6031 Chemical Kinetics and Reaction Engineering 
Chemical Engineering Process Dynamics and Control,CHME,6041,<span class=large-text>CHME 6041 Chemical Engineering Process Dynamics and Control 
Chemical Process Engineering and Design,CHME,6051,<span class=large-text>CHME 6051 Chemical Process Engineering and Design (4 credits)
Advanced Biochemical Engineering,CHME,6061,<span class=large-text>CHME 6061 Advanced Biochemical Engineering 
Materials Science and Engineering,CHME,6071,<span class=large-text>CHME 6071 Materials Science and Engineering 
Advanced Separation Processes,CHME,6081,<span class=large-text>CHME 6081 Advanced Separation Processes (4 credits) 
Statistics for Chemical Engineering,CHME,6091,<span class=large-text>CHME 6091 Statistics for Chemical Engineering 
Advanced Battery Materials and Technologies,CHME,6101,<span class=large-text>CHME 6101 Advanced Battery Materials and Technologies 
Polymer Chemistry and Engineering,CHME,6111,<span class=large-text>CHME 6111 Polymer Chemistry and Engineering 
Nanomaterials Science and Engineering,CHME,6121,<span class=large-text>CHME 6121 Nanomaterials Science and Engineering 
Advanced Colloid and Interface Science and Engineering,CHME,6131,<span class=large-text>CHME 6131 Advanced Colloid and Interface Science and Engineering 
Topics in Chemical Engineering I,CHME,6911,<span class=large-text>CHME 6911 Topics in Chemical Engineering I 
Topics in Chemical Engineering II ,CHME,7911,<span class=large-text>CHME 7911 Topics in Chemical Engineering II 
Biological Computing and Synthetic Biology ,COEN,6211,"Introduction to the cell and the genome. Foundations of synthetic biology and ethics. Synthetic genomes and metabolic engineering. Model organisms, such as E. coli bacteria, and synthetic cells: self-replicating cells man-made from cloned genes, a cellular membrane and the basic elements of RNA and protein synthesis. Designing computational devices for implementation in biological cells. Introduction to modelling and computer simulation of gene regulatory networks. Methods of building and testing gene regulatory networks within and without cells. Expanding functionality via inter-cellular signaling. Basic interfacing to electronic sensors and actuators. Landmark and interesting applications of synthetic biology in computer engineering and other disciplines. A project is required.
Note: Students who have received credit for COEN 691A or BIOL 631B (Biological Computing and Synthetic Biology) may not take this course for credit."
Software Engineering,COEN,6311,"Software life cycle, software requirements and requirement documentation. Software design: top-down and bottom-up approaches; design validation and design reviews. Software implementation, choice of a programming language and portability. Testing, debugging and verification. Design of test cases. Software documentation and its maintenance. Documentation tools and documentation portability, user interface design. A project is required."
Model-Driven Software Engineering,COEN,6312,"Prerequisite: COEN 6311 or COMP 6471 or equivalent.
 Model-Driven Architecture (MDA), domain-based system partitioning, Platform-Independent Modelling (PIM), Platform Specific Modelling (PSM), Unified Modelling Language (UML), static and dynamic modelling with UML, UML extension mechanisms, UML profiling, Object Constraint Language (OCL), model transformation, introduction to Query/View/Transformation standard, action specification (OAL), automatic system generation. A project is required."
Programming on the Cloud  ,COEN,6313,"Prerequisite: COEN 6311.
 Topics include definition(s) of principles of cloud-based problem solving and programming; autonomy of cloud computing, service and business models, data centres and virtualization; CAP theorem, REST API and data models; MapReduce and programming model, distributed file systems for computer clusters, development environments and tools on clouds; cloud-based access and query; cloud application design principles; applications of cloud service concepts to the  design of a real-world Internet service. A project is required.
Note: Students who have taken COEN 691 (Programming on the Cloud) may not take this course for credit."
Applied Evolutionary and Learning Algorithms  ,COEN,6321,"Topics include heuristic learning algorithms applied to real-world problems of design, classification, prediction and abstraction. Genetic algorithms, genetic programming, evolutionary strategies, generative and developmental systems, artificial life approaches, swarm intelligence, self-modifying programs, tabu search, simulated annealing and support vector machines; introduction to deep learning architectures. Examples of practical applications and challenges focused on biological and biomedical engineering. A project is required."
Neural Networks,COEN,6331,"Prerequisite: ENGR 6131.
 Fundamentals of artificial neural networks; rigorous analysis of and introduction to various network paradigms: perceptrons, backpropagation, counter-propagation, Hopfield nets, bi-directional associative memories, adaptive resonance theory, cognitron and neocognitron; neural network topologies, memories, learning, stability and convergence; applications to adaptive knowledge, knowledge processing, classification, pattern recognition, signal processing, communications, robotics and control; and assessment of current neural network technology. A project is required."
Embedded System Modelling,COEN,6341,"Fundamental issues and state-of-the-art methods, tools and techniques for system-level design of heterogeneous multi-core embedded systems. Modelling at different levels, from abstract specification down to implementation across hardware-software boundaries. Embedded system specification using system-level design languages, SystemC and SpecC. Application modelling and analysis. Embedded multi-core platforms. Transaction-level platform modelling. Processor and RTOS modelling. Communication architecture modelling. A project is required."
Digital System Design and Synthesis,COEN,6501,This course introduces students to VHDL language and modelling digital circuit with VHDL. Topics include: arithmetic and logic circuits. Storage devices. Finite State Machines. Algorithmic State Machines. Timing issues. Asynchronous Design. VHDL and modelling with VHDL. Synthesis and architectural models for synthesis. Project involving system design and modelling. A project is required.
VLSI Circuit Design ,COEN,6511,"Physical design of digital circuits using technologies of Very Large Scale Integration. CMOS and BiCMOS logic blocks. CMOS processing technology, design rules, CAD issues, and limitation of CMOS technologies. Physical layouts and parasitic elements of CMOS circuits. Characterization and performance evaluation. Electrical simulation using HSPICE. Design and implementation of CMOS logic structures, interconnects, and I/O structures, emphasis on optimizing operation speed and/or power dissipation/distribution. Project of circuit design using a specified CMOS technology. A project is required."
Design for Testability,COEN,6521,"Prerequisite: COEN 6501 or COEN 6511.
 Stuck-at faults, observability, controllability, fault coverage, test vectors, automatic test pattern generation (ATPG), statistical fault analysis, ad-hoc testing, level sensitive scan design (LSSD), serial scan, parallel scan, signature analysis and BILBO, boundary scan, built-in-self-test (BIST), IDDQ testing. A project is required."
ASIC Synthesis,COEN,6531,"Prerequisite: COEN 6501 or COEN 6511.
 Introduction to high level synthesis; synthesis models. The synthesis process; High Level Description Languages; scheduling; chaining and pipelining; clock optimization and synthesis; I/O synthesis. Behavioral synthesis; architectural trade-offs in power, area and delay. Design flow with FPGAs; design flow with full-custom and semi-custom ASIC’s. A project is required."
Functional Hardware Verification ,COEN,6541,"Prerequisite: COEN 6501 or equivalent.
 Review of hardware design languages. Definition of functional verification. Design for verification. Writing testbenches, simulation engines, and coverage metrics. Introduction to verification languages. Verification plan: strategies, testcases, testbenches. Modelling verification environments. Modelling input relations, intervals, events. Introduction to formal verification tools. A project is required.
Note: Students who have received credit for COEN 691X (Hardware Functional Verification) may not take this course for credit."
Formal Hardware Verification,COEN,6551,"Prerequisite: COEN 6501.
 Design verification technology. Introduction to mathematical logic (propositional, first-order, higher-order). Formal methods. Formal specification and validation. Combinational equivalence checking. Binary decision diagrams: BDD, automata theory, sequential equivalence checking, model theory, temporal logics, model checking, proof theory, predicate logic, theorem proving, formal verification CAD tools. Practical case studies. A project is required.
Note: Students who have received credit for COEN 7501 (Hardware Formal Verification) may not take this course for credit."
Real-time Systems,COEN,6611,"Taxonomy of real-time systems; Scheduling algorithms for static and dynamic tasks; Fault-tolerance and reliability; Resource and resource access control; Multiprocessor scheduling, resource access control, and synchronization; Real-time communication, Case studies in distributed real-time systems (e.g., HARTS, MARS, Spring, etc.). A project is required."
Microprocessors and Their Applications,COEN,6711,Introduction to microprocessors and their architectures. Examples of various microprocessors. Bus and I/O Organizations. Addressing modes. Timing. Software related issues. Memory and its hierarchy. Static and dynamic memory interfacing. Synchronous and asynchronous interfacing. Interrupts. DMA. Use of Co-processors. Single chip Micro-controllers. Examples of microprocessor applications at the system level. A project is required.
Fault-Tolerant Distributed Systems,COEN,6721,"Fundamentals of the design and analysis of fault-tolerant systems, Models for distributed systems, Fault/error models, Techniques for providing hardware/software redundancy, Fault-detection in multi-processors, Stable storage, Recovery strategies for multi-processors (checkpointing), System diagnosis, Software design faults, Experimental validation techniques, Case studies in fault-tolerant distributed systems. A project is required."
Computer Architecture and Design,COEN,6741,"Review of basic computer architecture designs. Fundamentals of computer design and performance. Cost issues. Instruction set design principles. Memory hierarchies: registers, caches and virtual memories. Basic processor implementation issues. High performance computing issues such as pipelining, superscalar and vector processing. Input/output subsystem designs. A project is required."
Topics In Computer Engineering I,COEN,691,"Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. COEN 691A, COEN 691B, etc."
Protocol Design and Validation,COEN,7311,"Prerequisites: COEN 6311 and ELEC 6851 or COMP 6461.
 OSI model, introduction to seven layers, protocols, services. Protocol modelling techniques: FSM models, Petri net models, Hybrid models. Temporal logic. Protocol specification languages of ISO: Estelle model and language. Lotos model and language. Protocol implementation and techniques from formal specification to implementation. Protocol verification techniques: communicating FSM, reachability analysis, verification using checking, protocol design validation. Protocol performance: performance parameters, performance measurement by simulation, extensions to Estelle. Protocol testing: test architectures, test sequences, test sequence languages, test design methodology. A project is required."
Advanced Computer Architecture,COEN,7741,"Prerequisite: COEN 6741.
 Multiprocessing, Parallel processing, Vector processing, MIMD, SIMD, ILP (Instruction Level Parallelism), Superscalar, VLIW, Multithreading, Systolic processors, etc. A project is required."
Topics In Computer Engineering II ,COEN,791,"Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. COEN 791A, COEN 791B, etc."
